JOBID=3468586.lhcfs2.stelab.nagoya-u.ac.jp
HOST lhcfcl5.stelab.nagoya-u.ac.jp
START
Mon Oct 15 02:37:32 JST 2018
Mon Oct 15 02:37:33 JST 2018
Quick Reconstruction -------------------------------
RUN NUMBER 2637
Read Average Pedestal 
0 0 949.358
0 1 929.963
0 2 947.734
0 3 996.684
0 4 972.719
0 5 1048.35
0 6 1027.87
0 7 1076.12
0 8 1190.57
0 9 1160.26
0 10 1165.31
0 11 1216.26
0 12 1147.35
0 13 1172.04
0 14 1243.08
0 15 1011.13
1 0 1001.12
1 1 938.348
1 2 1089.35
1 3 1011.22
1 4 1132.7
1 5 1023.07
1 6 1009.01
1 7 1044.92
1 8 1097.76
1 9 1171.47
1 10 1167.09
1 11 1202.69
1 12 1188.63
1 13 1165.01
1 14 1161.41
1 15 1071.86
