JOBID=3468590.lhcfs2.stelab.nagoya-u.ac.jp
HOST lhcfcl5.stelab.nagoya-u.ac.jp
START
Mon Oct 15 02:37:36 JST 2018
Mon Oct 15 02:37:37 JST 2018
Quick Reconstruction -------------------------------
RUN NUMBER 2721
Read Average Pedestal 
0 0 956.999
0 1 938.169
0 2 954.016
0 3 1003.17
0 4 978.24
0 5 1049.73
0 6 1032.13
0 7 1076.97
0 8 1192.17
0 9 1162.82
0 10 1169.97
0 11 1218.91
0 12 1150.98
0 13 1176.15
0 14 1248.78
0 15 1018.61
1 0 1006.89
1 1 941.518
1 2 1094.12
1 3 1014.77
1 4 1134.46
1 5 1022.88
1 6 1009.38
1 7 1045.92
1 8 1098.98
1 9 1171.72
1 10 1167.47
1 11 1203.91
1 12 1188.78
1 13 1164.77
1 14 1160.6
1 15 1072.36
