JOBID=3468469.lhcfs2.stelab.nagoya-u.ac.jp
HOST lhcfcl5.stelab.nagoya-u.ac.jp
START
Mon Oct 15 01:47:51 JST 2018
Mon Oct 15 01:47:52 JST 2018
Quick Reconstruction -------------------------------
RUN NUMBER 2798
Read Average Pedestal 
0 0 960.349
0 1 941.864
0 2 960.431
0 3 1009.28
0 4 985.786
0 5 1057.2
0 6 1039.56
0 7 1086.31
0 8 1200.83
0 9 1169.31
0 10 1177.38
0 11 1224.47
0 12 1158
0 13 1182.02
0 14 1254.13
0 15 1024.69
1 0 1010.88
1 1 945.441
1 2 1098.86
1 3 1019.57
1 4 1142.24
1 5 1028.41
1 6 1017.44
1 7 1053.34
1 8 1105.08
1 9 1177.47
1 10 1173.79
1 11 1211.1
1 12 1196.17
1 13 1171.26
1 14 1164.71
1 15 1078.31
